Name,Color,Product_Category,Rating,Standard_Price_$,Sale_Price_$,Sale_%,Image
Disney Princess Print Leggings,Belle,girls-clothing-pants-leggings-shorts,5.0,68.0,33.99,49.99,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw60755a2d/images/main/62355/62355_GD6_110_01.jpg?sw=369&q=90
Baby Zip Sleeper In Organic Cotton,Spooky Spiders,pajamas-baby,4.5,46.0,31.99,69.54,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw668a21d5/images/main/51836/51836_QD8_60_01.jpg?sw=369&q=90
Sunblock Swim Trunks,Navy,boys-clothing-swimsuits,5.0,50.0,29.99,59.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7aebd0f4/images/main/60471/60471_A91_110_01.jpg?sw=369&q=90
Play Sock 3-Pack,Dino 3pk,sale-event-hs,4.5,50.0,29.99,59.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwafc3a10f/images/main/64310/64310_TF4_90_01.jpg?sw=369&q=90
Baby Wiggle Pants in Organic Cotton,Navy,baby-girl-pants-leggings-shorts,5.0,50.0,29.99,59.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwff50f77c/images/main/52735/52735_A91_60_01.jpg?sw=369&q=90
Stripe Pocket Tee,Hanna Red Multi,boys-clothing-tops-shirts,5.0,58.0,28.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6f47c723/images/main/62210/62210_FQ8_110_01.jpg?sw=369&q=90
Marvel Iron Man Long John Pajamas,Iron Man,pajamas-kids,Not Rated,58.0,28.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw158792d5/images/main/62322/62322_PG4_110_01.jpg?sw=369&q=90
Sunblock Art Rash Guard,Navy,boys-clothing-swimsuits,Not Rated,46.0,27.99,60.85,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwdea1b0bb/images/main/62194/62194_A91_110_01.jpg?sw=369&q=90
Baby Bodysuit In Organic Cotton,Bunny Bunch,baby-girl-tops-shirts,5.0,68.0,26.99,39.69,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw0177163c/images/main/57433/57433_QG5_60_01.jpg?sw=369&q=90
Print Slim Leggings,Positively Purple,girls-clothing-pants-leggings-shorts,4.5,68.0,26.99,39.69,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcae8de25/images/main/65291/65291_ST7_110_01.jpg?sw=369&q=90
Bobble Cardigan,Petal Pink,girls-clothes-girls-sweaters-sweatshirts,5.0,44.0,25.99,59.07,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw1ef3d669/images/main/64380/64380_B42_110_01.jpg?sw=369&q=90
Play Tee & Pant Set,Foggy Blue,baby-girl-pants-leggings-shorts,5.0,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw815c5267/images/main/62574/62574_75M_90_01.jpg?sw=369&q=90
Bright Basics Tee In Organic Cotton,Trek Teal,baby-girl-tops-shirts,4.5,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw2069d07c/images/main/52632/52632_PW1_60_01.jpg?sw=369&q=90
Twirl Power Dress,Navy Blue,girls-clothing-dresses,4.5,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw4a7c5621/images/main/62654/62654_SR4_110_01.jpg?sw=369&q=90
Marvel Spider-Man Long John Pajamas,Spider-Man,pajamas-baby,4.0,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw80e197a1/images/main/62326/62326_PG5_110_01.jpg?sw=369&q=90
Long John Pajamas In Organic Cotton,Firefighter,pajamas-kids,5.0,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9727f272/images/main/51573/51573_QV9_110_01.jpg?sw=369&q=90
Disney and Pixar Sleeper In Organic Cotton,Pixar,pajamas-baby,4.5,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw35139633/images/main/62334/62334_SS7_60_01.jpg?sw=369&q=90
Baby Zip Sleeper In Organic Cotton,Magic Cats,pajamas-baby,4.5,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw23358273/images/main/51836/51836_TA8_60_01.jpg?sw=369&q=90
Twill Carpenter Shorts,Khaki Sand,boys-clothing-shorts,5.0,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc3b63acd/images/main/61385/61385_PM7_110_01.jpg?sw=369&q=90
Stripe Pocket Tee,Hanna Red Multi,boys-clothing-tops-shirts,5.0,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw6f47c723/images/main/62210/62210_FQ8_110_01.jpg?sw=369&q=90
Who Will You Be Cap,Lion,accessories-baby-hats,5.0,50.0,24.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw5d355709/images/main/48200/48200_NH4_60_01.jpg?sw=369&q=90
Disney Frozen 2 Long John Pajamas,Frozen 2,pajamas-kids,5.0,42.0,24.99,59.5,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw7d15ef18/images/main/62669/62669_TE0_110_01.jpg?sw=369&q=90
Marvel Black Panther Halloween Long John Pajamas,Black Panther,pajamas-kids,4.5,42.0,24.99,59.5,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw442d2e66/images/main/62672/62672_PG2_110_01.jpg?sw=369&q=90
Long John Pajamas In Organic Cotton,Doctor,pajamas-kids,5.0,42.0,24.99,59.5,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw78e0bdb1/images/main/51573/51573_TG4_110_01.jpg?sw=369&q=90
DC Wonder Woman Long John Pajamas,Wonder Woman,pajamas-kids,5.0,42.0,24.99,59.5,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwdba05e95/images/main/62328/62328_BY8_110_01.jpg?sw=369&q=90
Sunblock UV Art Tee,Go Green,boys-clothing-tops-shirts,4.5,42.0,24.99,59.5,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw9f04443f/images/main/62241/62241_41T_110_01.jpg?sw=369&q=90
Glow-In-The-Dark Baby Zip Sleeper In Organic Cotton,Mummy,pajamas-baby,5.0,60.0,23.99,39.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwcf9d4913/images/main/43846/43846_TB1_60_01.jpg?sw=369&q=90
Baby Snap Footed Sleeper In Organic Cotton,View Blue,pajamas-baby,5.0,60.0,23.99,39.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd9c21296/images/main/57437/57437_06C_60_01.jpg?sw=369&q=90
Summer Fun Swim Dress,Ecru,girls-clothing-swimsuits,Not Rated,50.0,23.99,47.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwc6d1fce7/images/main/62098/62098_76X_110_01.jpg?sw=369&q=90
Baby Zip Sleeper In Organic Cotton,Ladybug,pajamas-baby,4.5,50.0,23.99,47.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwb28ddbde/images/main/52171/52171_81O_60_01.jpg?sw=369&q=90
Snap Romper In Organic Cotton,Unicorns Hanna White,baby-girl-rompers,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwa3b6d563/images/main/62261/62261_JV5_60_01.jpg?sw=369&q=90
Twirl Power Chambray Dress,Light-Medium Wash Chambray,girls-clothing-dresses,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw833851ba/images/main/58635/58635_JG8_110_01.jpg?sw=369&q=90
Disney Princess Sweatshirt,Belle,girls-clothes-girls-sweaters-sweatshirts,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw175c4342/images/main/62350/62350_GD6_110_01.jpg?sw=369&q=90
Print Capri Leggings,Pink Florals,girls-clothing-pants-leggings-shorts,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwee7be094/images/main/62251/62251_TE4_110_01.jpg?sw=369&q=90
Print Capri Leggings,Hanna White Multi,girls-clothing-pants-leggings-shorts,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dwd196f41b/images/main/62251/62251_GL7_110_01.jpg?sw=369&q=90
Snap Romper In Organic Cotton,Heather Grey/Hanna White,baby-girl-rompers,5.0,48.0,23.99,49.98,https://www.hannaandersson.com/dw/image/v2/BBLM_PRD/on/demandware.static/-/Sites-master-catalog/default/dw3d7bbac1/images/main/57435/57435_GN1_60_01.jpg?sw=369&q=90
